id,estado,estado-slug,municipio,municipio-slug,poblacion,latitud,longitud,fecha,c-negativos,c-sospechosos,c-confirmados,c-defunciones,c-recuperados,d-negativos,d-sospechosos,d-confirmados,d-defunciones,d-recuperados,sospechosos-tasa-100k,confirmados-tasa-100k,activos
44,"Baja California",BC,Tijuana,TJ,1641570,32.50,-116.95,2020-04-08,304,122,146,8,0,145,54,51,0,0,7.43,8.89,138
45,"Baja California",BC,Rosarito,ROS,96734,32.36,-117.06,2020-04-08,19,10,2,0,0,11,10,1,0,0,10.34,2.07,2
46,"Baja California",BC,Ensenada,ENS,486639,31.84,-116.61,2020-04-08,99,14,2,0,0,30,-13,0,0,0,2.88,0.41,2
47,"Baja California",BC,Tecate,TEC,102406,32.56,-116.62,2020-04-08,20,8,6,0,0,14,3,6,0,0,7.81,5.86,6
48,"Baja California",BC,"San Quintin",SQ,4777,30.57,-115.94,2020-04-08,10,3,0,0,0,0,2,0,0,0,62.80,0.00,0
49,"Baja California",BC,Mexicali,MXL,988417,32.61,-115.45,2020-04-09,245,75,96,6,0,12,-7,12,1,0,7.59,9.71,90
50,"Baja California",BC,Tijuana,TJ,1641570,32.50,-116.95,2020-04-09,303,149,155,11,0,-1,27,9,3,0,9.08,9.44,144
51,"Baja California",BC,Rosarito,ROS,96734,32.36,-117.06,2020-04-09,19,10,2,0,0,0,0,0,0,0,10.34,2.07,2
52,"Baja California",BC,Ensenada,ENS,486639,31.84,-116.61,2020-04-09,101,15,3,0,0,2,1,1,0,0,3.08,0.62,3
53,"Baja California",BC,Tecate,TEC,102406,32.56,-116.62,2020-04-09,20,10,6,0,0,0,2,0,0,0,9.77,5.86,6
54,"Baja California",BC,"San Quintin",SQ,4777,30.57,-115.94,2020-04-09,10,2,1,0,0,0,-1,1,0,0,41.87,20.93,1
55,"Baja California",BC,Mexicali,MXL,988417,32.61,-115.45,2020-04-10,256,95,107,7,0,11,20,11,1,0,9.61,10.83,100
56,"Baja California",BC,Tijuana,TJ,1641570,32.50,-116.95,2020-04-10,314,182,181,18,0,11,33,26,7,0,11.09,11.03,163
57,"Baja California",BC,Rosarito,ROS,96734,32.36,-117.06,2020-04-10,19,10,4,0,0,0,0,2,0,0,10.34,4.14,4
58,"Baja California",BC,Ensenada,ENS,486639,31.84,-116.61,2020-04-10,109,27,3,0,0,8,12,0,0,0,5.55,0.62,3
59,"Baja California",BC,Tecate,TEC,102406,32.56,-116.62,2020-04-10,20,11,8,0,0,0,1,2,0,0,10.74,7.81,8
60,"Baja California",BC,"San Quintin",SQ,4777,30.57,-115.94,2020-04-10,10,2,1,0,0,0,0,0,0,0,41.87,20.93,1
61,"Baja California",BC,Mexicali,MXL,988417,32.61,-115.45,2020-04-11,256,133,118,8,0,0,38,11,1,0,13.46,11.94,110
62,"Baja California",BC,Tijuana,TJ,1641570,32.50,-116.95,2020-04-11,314,216,201,18,0,0,34,20,0,0,13.16,12.24,183
63,"Baja California",BC,Rosarito,ROS,96734,32.36,-117.06,2020-04-11,19,12,4,0,0,0,2,0,0,0,12.41,4.14,4
64,"Baja California",BC,Ensenada,ENS,486639,31.84,-116.61,2020-04-11,109,33,4,1,0,0,6,1,1,0,6.78,0.82,3
65,"Baja California",BC,Tecate,TEC,102406,32.56,-116.62,2020-04-11,20,13,9,0,0,0,2,1,0,0,12.69,8.79,9
66,"Baja California",BC,"San Quintin",SQ,4777,30.57,-115.94,2020-04-11,10,2,1,0,0,0,0,0,0,0,41.87,20.93,1
67,"Baja California",BC,Mexicali,MXL,988417,32.61,-115.45,2020-04-12,277,130,131,11,0,17,-3,13,3,0,13.15,13.25,120
68,"Baja California",BC,Tijuana,TJ,1641570,32.50,-116.95,2020-04-12,331,213,217,18,0,8,-3,16,0,0,12.98,13.22,199
69,"Baja California",BC,Rosarito,ROS,96734,32.36,-117.06,2020-04-12,19,13,4,0,0,0,1,0,0,0,13.44,4.14,4
70,"Baja California",BC,Ensenada,ENS,486639,31.84,-116.61,2020-04-12,112,27,4,1,0,1,-6,0,0,0,5.55,0.82,3
71,"Baja California",BC,Tecate,TEC,102406,32.56,-116.62,2020-04-12,22,11,12,0,0,2,-2,3,0,0,10.74,11.72,12
72,"Baja California",BC,"San Quintin",SQ,4777,30.57,-115.94,2020-04-12,13,4,2,0,0,3,2,1,0,0,83.73,41.87,2
73,"Baja California",BC,Mexicali,MXL,988417,32.61,-115.45,2020-04-13,277,119,150,11,0,0,-11,19,0,0,12.04,15.18,139
74,"Baja California",BC,Tijuana,TJ,1641570,32.50,-116.95,2020-04-13,331,190,240,21,0,0,-23,23,3,0,11.57,14.62,219
75,"Baja California",BC,Rosarito,ROS,96734,32.36,-117.06,2020-04-13,19,12,4,0,0,0,-1,0,0,0,12.41,4.14,4
76,"Baja California",BC,Ensenada,ENS,486639,31.84,-116.61,2020-04-13,112,27,4,1,0,0,0,0,0,0,5.55,0.82,3
77,"Baja California",BC,Tecate,TEC,102406,32.56,-116.62,2020-04-13,22,12,14,0,0,0,1,2,0,0,11.72,13.67,14
78,"Baja California",BC,"San Quintin",SQ,4777,30.57,-115.94,2020-04-13,13,4,2,0,0,0,0,0,0,0,83.73,41.87,2
79,"Baja California",BC,Mexicali,MXL,988417,32.61,-115.45,2020-04-14,308,120,184,14,0,28,1,34,3,0,12.14,18.62,170
80,"Baja California",BC,Tijuana,TJ,1641570,32.50,-116.95,2020-04-14,356,215,274,31,0,13,25,34,10,0,13.10,16.69,243
81,"Baja California",BC,Rosarito,ROS,96734,32.36,-117.06,2020-04-14,20,16,4,0,0,0,4,0,0,0,16.54,4.14,4
82,"Baja California",BC,Ensenada,ENS,486639,31.84,-116.61,2020-04-14,115,22,5,1,0,2,-5,1,0,0,4.52,1.03,4
83,"Baja California",BC,Tecate,TEC,102406,32.56,-116.62,2020-04-14,23,10,17,3,0,0,-2,3,3,0,9.77,16.60,14
84,"Baja California",BC,"San Quintin",SQ,4777,30.57,-115.94,2020-04-14,12,4,2,1,0,-1,0,0,1,0,83.73,41.87,1
85,"Baja California",BC,Mexicali,MXL,988417,32.61,-115.45,2020-04-15,360,113,207,20,0,52,-7,23,6,0,11.43,20.94,187
86,"Baja California",BC,Tijuana,TJ,1641570,32.50,-116.95,2020-04-15,396,225,280,32,0,40,10,6,1,0,13.71,17.06,248
87,"Baja California",BC,Rosarito,ROS,96734,32.36,-117.06,2020-04-15,23,15,4,0,0,3,-1,0,0,0,15.51,4.14,4
88,"Baja California",BC,Ensenada,ENS,486639,31.84,-116.61,2020-04-15,143,24,5,1,0,28,2,0,0,0,4.93,1.03,4
89,"Baja California",BC,Tecate,TEC,102406,32.56,-116.62,2020-04-15,23,16,17,3,0,0,6,0,0,0,15.62,16.60,14
90,"Baja California",BC,"San Quintin",SQ,4777,30.57,-115.94,2020-04-15,14,2,2,1,0,2,-2,0,0,0,41.87,41.87,1
91,"Baja California",BC,Mexicali,MXL,988417,32.61,-115.45,2020-04-16,356,122,216,22,0,-4,9,9,2,0,12.34,21.85,194
92,"Baja California",BC,Tijuana,TJ,1641570,32.50,-116.95,2020-04-16,406,325,292,38,0,10,100,12,6,0,19.80,17.79,254
93,"Baja California",BC,Rosarito,ROS,96734,32.36,-117.06,2020-04-16,23,16,5,0,0,0,1,1,0,0,16.54,5.17,5
94,"Baja California",BC,Ensenada,ENS,486639,31.84,-116.61,2020-04-16,148,23,5,1,0,5,-1,0,0,0,4.73,1.03,4
95,"Baja California",BC,Tecate,TEC,102406,32.56,-116.62,2020-04-16,24,17,18,3,0,1,1,1,0,0,16.60,17.58,15
96,"Baja California",BC,"San Quintin",SQ,4777,30.57,-115.94,2020-04-16,16,0,2,1,0,2,-2,0,0,0,0.00,41.87,1
97,"Baja California",BC,Mexicali,MXL,988417,32.61,-115.45,2020-04-17,369,152,236,25,0,13,30,20,3,0,15.38,23.88,211
98,"Baja California",BC,Tijuana,TJ,1641570,32.50,-116.95,2020-04-17,407,388,298,42,0,1,63,6,4,0,23.64,18.15,256
99,"Baja California",BC,Rosarito,ROS,96734,32.36,-117.06,2020-04-17,23,16,5,0,0,0,0,0,0,0,16.54,5.17,5
100,"Baja California",BC,Ensenada,ENS,486639,31.84,-116.61,2020-04-17,149,25,5,1,0,1,2,0,0,0,5.14,1.03,4
101,"Baja California",BC,Tecate,TEC,102406,32.56,-116.62,2020-04-17,24,28,19,3,0,0,11,1,0,0,27.34,18.55,16
102,"Baja California",BC,"San Quintin",SQ,4777,30.57,-115.94,2020-04-17,16,0,2,1,0,0,0,0,0,0,0.00,41.87,1
103,"Baja California",BC,Mexicali,MXL,988417,32.61,-115.45,2020-04-18,371,232,242,26,0,2,80,6,1,0,23.47,24.48,216
104,"Baja California",BC,Tijuana,TJ,1641570,32.50,-116.95,2020-04-18,404,391,374,49,0,-3,3,76,7,0,23.82,22.78,325
105,"Baja California",BC,Rosarito,ROS,96734,32.36,-117.06,2020-04-18,23,13,10,1,0,0,-3,5,1,0,13.44,10.34,9
106,"Baja California",BC,Ensenada,ENS,486639,31.84,-116.61,2020-04-18,149,37,5,1,0,0,12,0,0,0,7.60,1.03,4
107,"Baja California",BC,Tecate,TEC,102406,32.56,-116.62,2020-04-18,24,37,19,3,0,0,9,0,0,0,36.13,18.55,16
108,"Baja California",BC,"San Quintin",SQ,4777,30.57,-115.94,2020-04-18,16,0,2,1,0,0,0,0,0,0,0.00,41.87,1
109,"Baja California",BC,Mexicali,MXL,988417,32.61,-115.45,2020-04-19,372,324,246,26,0,1,92,4,0,0,32.78,24.89,220
110,"Baja California",BC,Tijuana,TJ,1641570,32.50,-116.95,2020-04-19,438,268,439,51,0,34,-123,65,2,0,16.33,26.74,388
111,"Baja California",BC,Rosarito,ROS,96734,32.36,-117.06,2020-04-19,23,13,10,1,0,0,0,0,0,0,13.44,10.34,9
112,"Baja California",BC,Ensenada,ENS,486639,31.84,-116.61,2020-04-19,150,31,9,1,0,1,-6,4,0,0,6.37,1.85,8
113,"Baja California",BC,Tecate,TEC,102406,32.56,-116.62,2020-04-19,24,40,19,3,0,0,3,0,0,0,39.06,18.55,16
114,"Baja California",BC,"San Quintin",SQ,4777,30.57,-115.94,2020-04-19,16,0,2,1,0,0,0,0,0,0,0.00,41.87,1
115,"Baja California",BC,Mexicali,MXL,988417,32.61,-115.45,2020-04-20,394,246,270,26,0,22,-78,24,0,0,24.89,27.32,244
116,"Baja California",BC,Tijuana,TJ,1641570,32.50,-116.95,2020-04-20,450,296,471,51,0,12,28,32,0,0,18.03,28.69,420
117,"Baja California",BC,Rosarito,ROS,96734,32.36,-117.06,2020-04-20,23,12,11,1,0,0,-1,1,0,0,12.41,11.37,10
118,"Baja California",BC,Ensenada,ENS,486639,31.84,-116.61,2020-04-20,158,26,12,1,0,8,-5,3,0,0,5.34,2.47,11
119,"Baja California",BC,Tecate,TEC,102406,32.56,-116.62,2020-04-20,25,39,20,3,0,1,-1,1,0,0,38.08,19.53,17
120,"Baja California",BC,"San Quintin",SQ,4777,30.57,-115.94,2020-04-20,16,0,2,1,0,0,0,0,0,0,0.00,41.87,1
121,"Baja California",BC,Mexicali,MXL,988417,32.61,-115.45,2020-04-21,421,194,295,27,0,27,-52,25,1,0,19.63,29.85,268
122,"Baja California",BC,Tijuana,TJ,1641570,32.50,-116.95,2020-04-21,481,246,510,60,0,31,-50,39,9,0,14.99,31.07,450
123,"Baja California",BC,Rosarito,ROS,96734,32.36,-117.06,2020-04-21,23,13,11,2,0,0,1,0,1,0,13.44,11.37,9
124,"Baja California",BC,Ensenada,ENS,486639,31.84,-116.61,2020-04-21,167,17,12,3,0,9,-9,0,2,0,3.49,2.47,9
125,"Baja California",BC,Tecate,TEC,102406,32.56,-116.62,2020-04-21,25,40,22,3,0,0,1,2,0,0,39.06,21.48,19
126,"Baja California",BC,"San Quintin",SQ,4777,30.57,-115.94,2020-04-21,16,0,2,1,0,0,0,0,0,0,0.00,41.87,1
127,"Baja California",BC,Mexicali,MXL,988417,32.61,-115.45,2020-04-22,421,157,364,36,29,0,-37,69,9,29,15.88,36.83,299
128,"Baja California",BC,Tijuana,TJ,1641570,32.50,-116.95,2020-04-22,481,252,557,86,24,0,6,47,26,24,15.35,33.93,447
129,"Baja California",BC,Rosarito,ROS,96734,32.36,-117.06,2020-04-22,23,13,11,2,0,0,0,0,0,0,13.44,11.37,9
130,"Baja California",BC,Ensenada,ENS,486639,31.84,-116.61,2020-04-22,167,21,14,4,1,0,4,2,1,1,4.32,2.88,9
131,"Baja California",BC,Tecate,TEC,102406,32.56,-116.62,2020-04-22,25,43,26,4,0,0,3,4,1,0,41.99,25.39,22
132,"Baja California",BC,"San Quintin",SQ,4777,30.57,-115.94,2020-04-22,16,0,3,1,0,0,0,1,0,0,0.00,62.80,2
133,"Baja California",BC,Mexicali,MXL,988417,32.61,-115.45,2020-04-23,500,137,393,36,31,27,-20,29,0,2,13.86,39.76,326
134,"Baja California",BC,Tijuana,TJ,1641570,32.50,-116.95,2020-04-23,500,307,588,89,25,3,55,31,3,1,18.70,35.82,474
135,"Baja California",BC,Rosarito,ROS,96734,32.36,-117.06,2020-04-23,23,12,11,2,0,0,-1,0,0,0,12.41,11.37,9
136,"Baja California",BC,Ensenada,ENS,486639,31.84,-116.61,2020-04-23,173,17,17,4,1,6,-4,3,0,0,3.49,3.49,12
137,"Baja California",BC,Tecate,TEC,102406,32.56,-116.62,2020-04-23,32,43,26,4,0,3,0,0,0,0,41.99,25.39,22
138,"Baja California",BC,"San Quintin",SQ,4777,30.57,-115.94,2020-04-23,15,0,4,1,0,-1,0,1,0,0,0.00,83.73,3
139,"Baja California",BC,Mexicali,MXL,988417,32.61,-115.45,2020-04-24,500,187,413,39,35,0,50,20,3,4,18.92,41.78,339
140,"Baja California",BC,Tijuana,TJ,1641570,32.50,-116.95,2020-04-24,500,261,660,110,26,0,-46,72,21,1,15.90,40.21,524
141,"Baja California",BC,Rosarito,ROS,96734,32.36,-117.06,2020-04-24,23,12,12,3,0,0,0,1,1,0,12.41,12.41,9
142,"Baja California",BC,Ensenada,ENS,486639,31.84,-116.61,2020-04-24,173,11,25,5,1,0,-6,8,1,0,2.26,5.14,19
