id,estado,estado-slug,municipio,municipio-slug,poblacion,latitud,longitud,fecha,c-negativos,c-sospechosos,c-confirmados,c-defunciones,c-recuperados,d-negativos,d-sospechosos,d-confirmados,d-defunciones,d-recuperados,sospechosos-tasa-100k,confirmados-tasa-100k,activos,tasa-mortalidad
92,"Baja California",BC,Tijuana,TJ,1641570,32.50,-116.95,2020-04-16,406,325,292,38,0,10,100,12,6,0,19.80,17.79,254,13.01%
93,"Baja California",BC,Rosarito,ROS,96734,32.36,-117.06,2020-04-16,23,16,5,0,0,0,1,1,0,0,16.54,5.17,5,0.00%
94,"Baja California",BC,Ensenada,ENS,486639,31.84,-116.61,2020-04-16,148,23,5,1,0,5,-1,0,0,0,4.73,1.03,4,20.00%
95,"Baja California",BC,Tecate,TEC,102406,32.56,-116.62,2020-04-16,24,17,18,3,0,1,1,1,0,0,16.60,17.58,15,16.67%
96,"Baja California",BC,"San Quintin",SQ,4777,30.57,-115.94,2020-04-16,16,0,2,1,0,2,-2,0,0,0,0.00,41.87,1,50.00%
97,"Baja California",BC,Mexicali,MXL,988417,32.61,-115.45,2020-04-17,369,152,236,25,0,13,30,20,3,0,15.38,23.88,211,10.59%
98,"Baja California",BC,Tijuana,TJ,1641570,32.50,-116.95,2020-04-17,407,388,298,42,0,1,63,6,4,0,23.64,18.15,256,14.09%
99,"Baja California",BC,Rosarito,ROS,96734,32.36,-117.06,2020-04-17,23,16,5,0,0,0,0,0,0,0,16.54,5.17,5,0.00%
100,"Baja California",BC,Ensenada,ENS,486639,31.84,-116.61,2020-04-17,149,25,5,1,0,1,2,0,0,0,5.14,1.03,4,20.00%
101,"Baja California",BC,Tecate,TEC,102406,32.56,-116.62,2020-04-17,24,28,19,3,0,0,11,1,0,0,27.34,18.55,16,15.79%
102,"Baja California",BC,"San Quintin",SQ,4777,30.57,-115.94,2020-04-17,16,0,2,1,0,0,0,0,0,0,0.00,41.87,1,50.00%
103,"Baja California",BC,Mexicali,MXL,988417,32.61,-115.45,2020-04-18,371,232,242,26,0,2,80,6,1,0,23.47,24.48,216,10.74%
104,"Baja California",BC,Tijuana,TJ,1641570,32.50,-116.95,2020-04-18,404,391,374,49,0,-3,3,76,7,0,23.82,22.78,325,13.10%
105,"Baja California",BC,Rosarito,ROS,96734,32.36,-117.06,2020-04-18,23,13,10,1,0,0,-3,5,1,0,13.44,10.34,9,10.00%
106,"Baja California",BC,Ensenada,ENS,486639,31.84,-116.61,2020-04-18,149,37,5,1,0,0,12,0,0,0,7.60,1.03,4,20.00%
107,"Baja California",BC,Tecate,TEC,102406,32.56,-116.62,2020-04-18,24,37,19,3,0,0,9,0,0,0,36.13,18.55,16,15.79%
108,"Baja California",BC,"San Quintin",SQ,4777,30.57,-115.94,2020-04-18,16,0,2,1,0,0,0,0,0,0,0.00,41.87,1,50.00%
109,"Baja California",BC,Mexicali,MXL,988417,32.61,-115.45,2020-04-19,372,324,246,26,0,1,92,4,0,0,32.78,24.89,220,10.57%
