id,estado,estado-slug,municipio,municipio-slug,poblacion,latitud,longitud,fecha,c-negativos,c-sospechosos,c-confirmados,c-defunciones,d-negativos,d-sospechosos,d-confirmados,d-defunciones
55,"Baja California",BC,Mexicali,MXL,988417,32.6138,-115.45,2020-04-10,256,95,107,7,11,20,11,1
56,"Baja California",BC,Tijuana,TJ,1641570,32.4968,-116.948,2020-04-10,314,182,181,18,11,33,26,7
57,"Baja California",BC,Rosarito,ROS,96734,32.3595,-117.057,2020-04-10,19,10,4,0,0,0,2,0
58,"Baja California",BC,Ensenada,ENS,486639,31.8423,-116.61,2020-04-10,109,27,3,0,8,12,0,0
59,"Baja California",BC,Tecate,TEC,102406,32.5619,-116.623,2020-04-10,20,11,8,0,0,1,2,0
60,"Baja California",BC,"San Quintin",SQ,4777,30.5711,-115.941,2020-04-10,10,2,1,0,0,0,0,0
61,"Baja California",BC,Mexicali,MXL,988417,32.6138,-115.45,2020-04-11,256,133,118,8,0,38,11,1
62,"Baja California",BC,Tijuana,TJ,1641570,32.4968,-116.948,2020-04-11,314,216,201,18,0,34,20,0
63,"Baja California",BC,Rosarito,ROS,96734,32.3595,-117.057,2020-04-11,19,12,4,0,0,2,0,0
64,"Baja California",BC,Ensenada,ENS,486639,31.8423,-116.61,2020-04-11,109,33,4,1,0,6,1,1
65,"Baja California",BC,Tecate,TEC,102406,32.5619,-116.623,2020-04-11,20,13,9,0,0,2,1,0
66,"Baja California",BC,"San Quintin",SQ,4777,30.5711,-115.941,2020-04-11,10,2,1,0,0,0,0,0
67,"Baja California",BC,Mexicali,MXL,988417,32.6138,-115.45,2020-04-12,277,130,131,11,17,-3,13,3
68,"Baja California",BC,Tijuana,TJ,1641570,32.4968,-116.948,2020-04-12,331,213,217,18,8,-3,16,0
69,"Baja California",BC,Rosarito,ROS,96734,32.3595,-117.057,2020-04-12,19,13,4,0,0,1,0,0
70,"Baja California",BC,Ensenada,ENS,486639,31.8423,-116.61,2020-04-12,112,27,4,1,1,-6,0,0
71,"Baja California",BC,Tecate,TEC,102406,32.5619,-116.623,2020-04-12,22,11,12,0,2,-2,3,0
72,"Baja California",BC,"San Quintin",SQ,4777,30.5711,-115.941,2020-04-12,13,4,2,0,3,2,1,0
73,"Baja California",BC,Mexicali,MXL,988417,32.6138,-115.45,2020-04-13,277,119,150,11,0,-11,19,0
74,"Baja California",BC,Tijuana,TJ,1641570,32.4968,-116.948,2020-04-13,331,190,240,21,0,-23,23,3
75,"Baja California",BC,Rosarito,ROS,96734,32.3595,-117.057,2020-04-13,19,12,4,0,0,-1,0,0
76,"Baja California",BC,Ensenada,ENS,486639,31.8423,-116.61,2020-04-13,112,27,4,1,0,0,0,0
77,"Baja California",BC,Tecate,TEC,102406,32.5619,-116.623,2020-04-13,22,12,14,0,0,1,2,0
78,"Baja California",BC,"San Quintin",SQ,4777,30.5711,-115.941,2020-04-13,13,4,2,0,0,0,0,0
79,"Baja California",BC,Mexicali,MXL,988417,32.6138,-115.45,2020-04-14,308,120,184,14,28,1,34,3
80,"Baja California",BC,Tijuana,TJ,1641570,32.4968,-116.948,2020-04-14,356,215,274,31,13,25,34,10
81,"Baja California",BC,Rosarito,ROS,96734,32.3595,-117.057,2020-04-14,20,16,4,0,0,4,0,0
82,"Baja California",BC,Ensenada,ENS,486639,31.8423,-116.61,2020-04-14,115,22,5,1,2,-5,1,0
83,"Baja California",BC,Tecate,TEC,102406,32.5619,-116.623,2020-04-14,23,10,17,3,0,-2,3,3
84,"Baja California",BC,"San Quintin",SQ,4777,30.5711,-115.941,2020-04-14,12,4,2,1,-1,0,0,1
85,"Baja California",BC,Mexicali,MXL,988417,32.6138,-115.45,2020-04-15,360,113,207,20,52,-7,23,6
86,"Baja California",BC,Tijuana,TJ,1641570,32.4968,-116.948,2020-04-15,396,225,280,32,40,10,6,1
87,"Baja California",BC,Rosarito,ROS,96734,32.3595,-117.057,2020-04-15,23,15,4,0,3,-1,0,0
88,"Baja California",BC,Ensenada,ENS,486639,31.8423,-116.61,2020-04-15,143,24,5,1,28,2,0,0
